ID,DEPARTAMENTO,COD_DPTO,MUNICIPIO,COD_MCPIO,Cod_candidato,NOMBRE,Votos,PARTIDO,COD_PARTIDO,GENERO,EDAD,age (estimada),gender (estimado),blurness,facequality,yaw_angle,pitch_angle,roll_angle,BD,alto,ancho,fhwr,alto_rot,ancho_rot,fhwr_rot,alto_correg,ancho_correg,fhwr_correg,ranking,partidoFE,ideologia_cat,fhwr_cat,combo_id
440601,CAQUETA,44,EL PAUJIL,06,01,LUDIVIA HERNANDEZ CALDERON,3381,PARTIDO LIBERAL COLOMBIANO,1,F,46,25,Female,"0,148","0,006","32,588753","-4,815728","-9,402774","48,662",76,139,"1,828947368",90,139,"1,544444444","84,70643958","139,7464108","1,649773164",1,Liberal,Derecha,0,25
1512802,CUNDINAMARCA,15,GUAYABETAL,128,02,ALEXANDER RODRIGUEZ PARRADO,1520,JUNTOS HACEMOS MAS,2333,M,43,48,Male,"0,038","0,006","38,88158","-17,609068","0,6351717","62,448",71,147,"2,070422535",80,147,"1,8375","80,53827913","147,0242241","1,825519811",2,0,,1,
317303,VALLE,31,LA VICTORIA,73,03,MARIO ALEJANDRO REYES GALVIS,5056,"NUEVOS TIEMPOS, NUEVAS IDEAS",76,M,36,37,Male,"0,384","0,006","29,683153","-17,917822","-3,0941691","0,767",87,165,"1,896551724",98,165,"1,683673469","94,9423641","164,7594578","1,735362916",1,0,,1,
215207,MAGDALENA,21,PLATO,52,07,OSCAR GUILLERMO SININNG DE ANGEL,707,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,6,M,30,29,Male,"1,395","0,006","38,554462","-3,6776009","-34,0511","17,566",65,142,"2,184615385",115,142,"1,234782609","106,4805711","162,4470353","1,525602592",4,ASI,Izquierda,0,13
400103,ARAUCA,40,ARAUCA,01,03,GERMAN ROGELIO ROZO ANIS,3063,PARTIDO COLOMBIA RENACIENTE,15,M,44,44,Female,"0,473","0,006","-35,657604","-8,288022","2,4776032","31,125",85,154,"1,811764706",102,154,"1,509803922","100,4348688","153,9857268","1,533189903",5,0,,0,
231902,NARIÑO,23,BUESACO,19,02,OSWALDO PABON DIAZ,5490,PARTIDO COLOMBIA RENACIENTE,15,M,51,59,Male,"0,155","0,006","29,868065","-7,534174","-3,1252508","3,534",85,154,"1,811764706",92,154,"1,673913043","89,73693608","153,4438488","1,709929662",2,0,,1,
314001,VALLE,31,CALIMA,40,01,WILLIAN EMILIO GIL VALLEJO,370,PARTIDO LIBERAL COLOMBIANO,1,M,63,29,Male,"0,001","0,006","-45,40969","12,3092985","3,5149186","7,459",108,171,"1,583333333",111,171,"1,540540541","110,3717919","170,8622519","1,548060867",4,Liberal,Derecha,0,7
284001,SUCRE,28,COROZAL,40,01,HERNAN ANSELMO PERCY GRACIA,7627,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,12,M,44,49,Male,"0,056","0,086","27,82694","-7,997643","3,0790043","4,265",87,152,"1,747126437",88,152,"1,727272727","90,18261974","152,1565662","1,687204992",3,MAIS,Izquierda,0,15
2826001,SUCRE,28,San Luis de Since,260,01,ESTHER CECILIA ZABALETA MEZA,471,COLOMBIA HUMANA - UNIÃ“N PATRIÃ“TICA,10,F,35,40,Female,"0,198","0,123","26,074451","-27,499338","3,2667692","14,45",89,161,"1,808988764",103,161,"1,563106796","105,4539383","160,6813957","1,523711663",4,0,Izquierda,0,33
642306,PUTUMAYO,64,ORITO,23,06,JUAN CARLOS MORA CHAVES,7163,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,6,M,39,35,Male,"0,375","0,151","27,39898","-10,071704","-2,332458","16,743",89,166,"1,865168539",92,166,"1,804347826","90,10650055","165,2926994","1,834414814",2,ASI,Izquierda,1,16
400107,ARAUCA,40,ARAUCA,01,07,OSCAR EVELIO DURAN RODRIGUEZ,10665,ARAUCA ES REAL,32,M,43,41,Male,"1,423","0,199","-27,127115","-11,721137","6,765836","0,752",81,149,"1,839506173",102,149,"1,460784314","96,93062605","149,729532","1,544708191",2,0,,0,
256401,NORTE DE SANTANDER,25,PAMPLONA,64,01,JOSE LUIS GONZALEZ ARANGO,160,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,12,M,40,41,Female,"0,328","0,334","26,804413","-3,1973524","-2,4737031","1,269",101,183,"1,811881188",106,183,"1,726415094","103,9158232","182,9589515","1,76064574",7,MAIS,Izquierda,1,16
316702,VALLE,31,LA CUMBRE,67,02,VICTOR ALFONSO COLLAZOS CIFUENTES,3388,PARTIDO COLOMBIA RENACIENTE,15,M,46,42,Male,"0,191","0,402","26,481834","-10,564603","-5,103984","3,206",98,164,"1,673469388",104,164,"1,576923077","101,0809971","163,2607571","1,615147869",2,0,,0,
153702,CUNDINAMARCA,15,CAQUEZA,37,02,DIANA MARCELA GUTIERREZ CARRILLO,1879,CAQUEZA COMPROMISO DE TODOS,105,F,43,26,Female,"0,108","0,416","-26,443129","-10,609638","-9,539626","9,661",59,103,"1,745762712",65,103,"1,584615385","65,64193772","105,0559589","1,600439635",3,0,,0,
1230008,CESAR,12,CHIMICHAGUA,300,08,DALMA OSPINO PEREZ,4444,PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U,8,F,48,53,Female,"0,227","0,663","25,748198","-14,193075","-19,612932","29,324",46,105,"2,282608696",63,105,"1,666666667","56,32387037","109,9849984","1,952724442",2,De la U,Centro,1,22
310108,VALLE,31,CALI,01,08,ALVARO ALEJANDRO EDER GARCES,133570,COMPROMISO CIUDADANO POR CALI,196,M,44,34,Male,"0,359","0,801","25,44123","-15,041251","-7,728638","13,849",97,188,"1,93814433",105,188,"1,79047619","102,0360478","186,8301539","1,831021074",3,0,,1,
10727704,BOYACA,107,SOGAMOSO,277,04,RIGOBERTO ALFONSO PEREZ,20856,COALICION POR UN MEJOR MAÑANA,2644,M,49,54,Male,"0,039","0,829","-25,433144","-14,513486","-0,09887638","13,825",69,118,"1,710144928",74,118,"1,594594595","74,05683849","118,0084529","1,593484887",1,0,,0,
262507,QUINDIO,26,CORDOBA,25,07,JOHN JAIRO PACHECO ROZO,1294,ES LA HORA DEL CAMBIO,4544,M,47,56,Male,"0,569","1,053","25,472317","5,425668","-8,441873","5,158",114,156,"1,368421053",118,156,"1,322033898","119,0775019","154,3097881","1,295876934",1,0,,0,
135505,CORDOBA,13,SAN PELAYO,55,05,ADER LUIS ESPITIA MERCADO,8065,PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U,8,M,50,54,Male,"0,353","1,064","25,537577","-2,1036692","-7,7735796","3,486",71,143,"2,014084507",83,143,"1,722891566","79,12630615","143,9852732","1,819689054",2,De la U,Centro,1,4
234402,NARIÑO,23,EL PEÑOL,44,02,DUBAN YAMIR CHAVES GUERRA,2300,VAMOS PEÑOL,3474,M,31,37,Male,"0,298","1,155","25,424152","-2,5375578","-13,605004","9,434",55,117,"2,127272727",68,117,"1,720588235","61,68967031","117,9511199","1,912007622",2,0,,1,
1270004,CESAR,12,PELAYA,700,04,DAVID ENRIQUE MARTINEZ AGUDELO,2116,PARTIDO CAMBIO RADICAL,3,M,38,51,Female,"0,354","1,724","24,880333","2,3012724","-11,327141","33,91",57,113,"1,98245614",67,113,"1,686567164","62,174879","113,155883","1,819961452",3,Cambio Radical,Centro,1,4
1074304,BOYACA,107,CERINZA,43,04,HENRY ANTONIO ESLAVA MANOSALVA,611,PARTIDO ALIANZA VERDE,4,M,67,55,Male,"0,032","1,766","24,604053","-9,542812","-1,0103698","1,619",79,129,"1,632911392",85,129,"1,517647059","84,38724978","129,0152098","1,528847192",2,Alianza Verde,Izquierda,0,15
10117203,ANTIOQUIA,101,LIBORINA,172,03,JUAN DIEGO ESCUDERO CORREA,2076,UNIDOS POR LIBORINA,5060,M,44,52,Male,"0,256","2,159","24,577766","1,2128631","-6,228598","9,458",68,108,"1,588235294",70,108,"1,542857143","69,76850259","106,9284867","1,532618341",2,0,,0,
231901,NARIÑO,23,BUESACO,19,01,JORGE WALTER VALLEJOS ROJAS,81,PARTIDO COLOMBIA JUSTA LIBRES,14,M,63,60,Male,"1,262",3,"23,639002","-10,324357","-0,14811541","2,257",96,146,"1,520833333",99,146,"1,474747475","98,88592486","145,9917569","1,476365388",3,0,,0,
10116801,ANTIOQUIA,101,PUERTO NARE,168,01,JAMEL DE JESUS MEJIA VASQUEZ,3986,PARTIDO LIBERAL COLOMBIANO,1,M,50,33,Male,"0,099","3,227","23,96021","0,7653466","-11,712962","2,487",93,191,"2,053763441",110,191,"1,736363636","102,0259288","192,9100454","1,890794308",1,Liberal,Derecha,1,10
